failure,rawReadErrorRate,spinUpTime,startStopCount,reallocatedSectors,seekErrorRate,powerOnHours,spinRetryCount,powerCycleCount,reportedUncorrect,loadCycleCount,temperature,pendingSectors,offlineUncorrectable,crcErrorCount,brand_HGST,brand_Other,brand_Seagate,brand_Toshiba,brand_WD
0,0.0,352.0,8.0,0.0,0.0,6573.0,0.0,8.0,0.0,1013.0,34.0,0.0,0.0,0.0,0,0,0,0,1
0,97220216.0,0.0,7.0,0.0,1818387690.0,64226.0,0.0,7.0,0.0,71138.0,26.0,0.0,0.0,0.0,0,0,1,0,0
0,145641872.0,0.0,15.0,0.0,104996742.0,38180.0,0.0,16.0,0.0,2502.0,35.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,6511.0,15.0,0.0,0.0,10175.0,0.0,15.0,0.0,23.0,36.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,352.0,14.0,0.0,0.0,8681.0,0.0,14.0,0.0,405.0,43.0,0.0,0.0,0.0,0,0,0,0,1
0,0.0,411.0,10.0,0.0,0.0,28825.0,0.0,10.0,0.0,1022.0,28.0,0.0,0.0,0.0,1,0,0,0,0
0,0.0,7934.0,10.0,0.0,0.0,33730.0,0.0,10.0,0.0,16.0,26.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,350.0,9.0,0.0,0.0,5840.0,0.0,9.0,0.0,263.0,29.0,0.0,0.0,0.0,0,0,0,0,1
0,30097184.0,0.0,4.0,0.0,169870112.0,6473.0,0.0,4.0,0.0,527.0,29.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,0.0,3.0,0.0,0.0,74042.0,0.0,3.0,0.0,3.0,23.0,0.0,0.0,0.0,1,0,0,0,0
0,0.0,352.0,24.0,0.0,0.0,28655.0,0.0,24.0,0.0,1605.0,46.0,0.0,0.0,0.0,0,0,0,0,1
0,0.0,9604.0,11.0,0.0,0.0,2183.0,0.0,11.0,0.0,18.0,34.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,383.0,64.0,0.0,0.0,47997.0,0.0,64.0,0.0,1721.0,33.0,0.0,0.0,0.0,1,0,0,0,0
0,46497744.0,0.0,5.0,0.0,892573840.0,39961.0,0.0,4.0,0.0,1800.0,27.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,8103.0,12.0,0.0,0.0,20218.0,0.0,12.0,0.0,454.0,36.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,539.0,27.0,0.0,0.0,64868.0,0.0,27.0,0.0,474.0,32.0,0.0,0.0,0.0,1,0,0,0,0
0,104127912.0,0.0,18.0,0.0,7721202.0,23867.0,0.0,17.0,0.0,4353.0,32.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,345.0,11.0,0.0,0.0,9957.0,0.0,11.0,0.0,1068.0,29.0,0.0,0.0,0.0,0,0,0,0,1
0,0.0,404.0,22.0,0.0,0.0,36790.0,0.0,22.0,0.0,1796.0,42.0,0.0,0.0,0.0,1,0,0,0,0
0,101182424.0,0.0,14.0,0.0,991055300.0,28376.0,0.0,14.0,0.0,1450.0,35.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,8516.0,13.0,0.0,0.0,12970.0,0.0,13.0,0.0,39.0,23.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,9367.0,18.0,0.0,0.0,1936.0,0.0,18.0,0.0,33.0,35.0,0.0,0.0,0.0,0,0,0,1,0
0,153896640.0,0.0,24.0,0.0,3488278368.0,73052.0,0.0,24.0,0.0,82664.0,24.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,9574.0,8.0,0.0,0.0,976.0,0.0,8.0,0.0,16.0,32.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,332.0,9.0,0.0,0.0,17838.0,0.0,9.0,0.0,1979.0,34.0,0.0,0.0,0.0,0,0,0,0,1
0,90219760.0,0.0,6.0,0.0,739944787.0,38036.0,0.0,6.0,0.0,1904.0,36.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,7811.0,9.0,0.0,0.0,38083.0,0.0,9.0,0.0,407.0,26.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,275.0,24.0,0.0,0.0,6279.0,0.0,24.0,0.0,372.0,35.0,0.0,0.0,0.0,0,0,0,0,1
0,144552312.0,0.0,41.0,0.0,256709149.0,45725.0,0.0,41.0,0.0,2400.0,35.0,0.0,0.0,0.0,0,0,1,0,0
0,105126176.0,0.0,21.0,0.0,328324779.0,43996.0,0.0,20.0,0.0,2109.0,35.0,0.0,0.0,0.0,0,0,1,0,0
0,117214032.0,0.0,17.0,0.0,797249309.0,65586.0,0.0,17.0,0.0,91097.0,38.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,317.0,11.0,0.0,0.0,10284.0,0.0,11.0,0.0,6106.0,28.0,0.0,0.0,0.0,0,0,0,0,1
0,0.0,7777.0,6.0,0.0,0.0,31409.0,0.0,6.0,0.0,15.0,27.0,0.0,0.0,0.0,0,0,0,1,0
0,120217840.0,0.0,11.0,0.0,3302800282.0,72909.0,0.0,11.0,0.0,39571.0,35.0,0.0,0.0,0.0,0,0,1,0,0
0,26460664.0,0.0,18.0,0.0,931921636.0,40263.0,0.0,18.0,0.0,2228.0,34.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,0.0,4.0,0.0,0.0,27744.0,0.0,4.0,0.0,959.0,38.0,0.0,0.0,0.0,1,0,0,0,0
0,123226520.0,0.0,9.0,0.0,778088372.0,20900.0,0.0,9.0,0.0,1825.0,29.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,0.0,0.0,0.0,0.0,21086.0,0.0,13.0,0.0,0.0,44.0,0.0,0.0,0.0,0,0,1,0,0
1,231937872.0,0.0,7.0,15664.0,37894254.0,39023.0,0.0,7.0,71.0,2824.0,43.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,404.0,15.0,0.0,0.0,51973.0,0.0,15.0,0.0,1953.0,30.0,0.0,0.0,0.0,1,0,0,0,0
